Prompt,Phase,Category,Key Requirements,Verification Checklist,Status,Priority,Dependencies
1,2,Core - Invoicing & Tax,"CRUDs Facturación Florida Tax Engine","☐ wa-sqlite connection stable|☐ system_config table with logic_clock exists|☐ customers table with county field|☐ products table with INTEGER prices|☐ invoices table complete|☐ invoice_items table|☐ FloridaTaxEngine 6% base + county surtax|☐ $5000 surtax rule implemented|☐ Florida rounding algorithm|☐ InventoryService validates stock|☐ InvoiceService increments logic_clock|☐ InvoiceService registers in audit_chain|☐ Customer forms with Florida county selector|☐ POS with SKU search and real-time tax|☐ Virtualized tables|☐ Test $6000 invoice with 1% surtax = $410 tax|☐ logic_clock saves correctly|☐ UI prevents insufficient stock sales|☐ tsc noEmit passes",Pending,Critical,Phase 1
3,3,Accounting - US GAAP,"Contabilidad Completa Partida Doble","☐ FloridaTaxEngine generates correct INTEGER amounts|☐ Phase 2 invoices register logic_clock|☐ system_config exists|☐ chart_of_accounts table|☐ journal_entries table|☐ ledger_lines table|☐ SQL Trigger blocks DELETE UPDATE on Posted|☐ AccountingService validates debits = credits|☐ System rejects unbalanced transactions|☐ Auto-generate sales entry|☐ Auto-generate COGS entry|☐ Trial Balance query|☐ Balance Sheet query|☐ Income Statement query|☐ General Ledger with audit_chain|☐ Journal view with search|☐ Financial statements with drill-down|☐ Chart of Accounts selector|☐ Test $100 sale + $7 tax balanced|☐ Balance Sheet balanced after 10 transactions|☐ DELETE on Posted returns error|☐ logic_clock consistent",Pending,Critical,Phase 2
4,4,Security - Audit & Backup,"AuditChain Backup Versátil","☐ journal_entries has block triggers|☐ Every transaction has unique logic_clock|☐ Trial Balance = 0|☐ AuditChainService SHA-256 hash|☐ Hash chaining implemented|☐ audit_chain table|☐ verifyIntegrity function|☐ Backup generates aex encrypted AES-256-GCM|☐ Multi-destination Local Cloud Remote|☐ File System Access API|☐ Google Drive AWS S3 integration|☐ SFTP or REST API|☐ Cron scheduling|☐ Import validates hash|☐ Atomic restoration|☐ Double confirmation|☐ Security Panel with Integrity Check|☐ Destination selector UI|☐ Read-only Audit Log|☐ Test verifyIntegrity detects changes|☐ Test Backup destination changeable|☐ Test Backup restores cross-browser|☐ Test logic_clock verified on restore|☐ Test Worker performance 1000 records",Pending,Critical,Phase 3
5,5,AI & Reporting,"IA Read-Only Dashboard Reportes Fiscales","☐ SQLite has journal_entries audit_chain|☐ logic_clock consistent|☐ FloridaTaxEngine uses INTEGER|☐ AIAssistantService isolated|☐ AI receives Read-only JSON views|☐ System Prompt Forensic Auditor|☐ AI receives logic_clock and AuditChain|☐ Rate Limiting 100 queries day|☐ Dashboard KPI cards|☐ Integrity Alert visual|☐ Upcoming Deadlines widget|☐ ReportingService Florida DR-15|☐ Balance Sheet P&L from ledger_lines|☐ Audit Trail Report export|☐ Export PDF Excel|☐ Amounts convert centavos to decimals in visualization|☐ Chat UI persistent|☐ Quick commands|☐ Test AI identifies imbalance|☐ Test DR-15 matches FloridaTaxEngine|☐ Test Dashboard auto-updates|☐ Test Rate Limit blocks at limit",Pending,High,Phase 4
6,6,Production - Security & Optimization,"Pulido Final Seguridad Optimización","☐ System uses wa-sqlite OPFS only|☐ verifyIntegrity passes|☐ Trial Balance zero centavos|☐ Backup aex AES-256-GCM|☐ Prepared Statements|☐ XSS Protection|☐ Role Segregation SoD|☐ Table virtualization 60 FPS|☐ Lazy Loading LCP < 1.5s|☐ SQLite Vacuum after restore|☐ Loading States|☐ Toast notifications|☐ Dark Mode Persistence|☐ System Health Report|☐ Test tsc vite build ZERO errors warnings|☐ Test AuditChain survives closure|☐ Test Excel PDF precision|☐ Test AI read-only only|☐ No console.log production|☐ logic_clock consistency check on start|☐ PBKDF2 210000 iterations|☐ No UI function > 150 lines|☐ No warnings production build",Pending,Critical,Phase 5
7,7,Payroll,"Nómina Cumplimiento Laboral Florida","☐ journal_entries integrity salary|☐ logic_clock sequential|☐ employees table SSN encrypted|☐ payrolls table|☐ PayrollEngine FICA 7.65%|☐ Federal withholding IRS 2026|☐ Florida reemployment tax 2.7-5.4%|☐ Overtime > 40h week|☐ PayrollService generates entries|☐ Florida DR-15 integration|☐ Employee forms UI|☐ Payroll calculator UI|☐ W-2 1099 export PDF|☐ Test $2000 gross FICA $153|☐ Test Payroll entries balanced|☐ No SSN without AES-256|☐ No negative net_pay",Pending,High,Phase 3
8,8,Accounts Payable,"Compras Proveedores Cuentas por Pagar","☐ stock_quantity verified|☐ Trial Balance = 0|☐ suppliers table|☐ purchase_orders table|☐ ap_invoices table|☐ APService validates payments|☐ Early payment discounts|☐ PurchaseService generates entries|☐ CRUD suppliers UI|☐ Purchase orders UI|☐ Pending payments tracking|☐ Test $1000 purchase balanced|☐ Test UI alerts due dates|☐ No purchases without audit_chain|☐ No negative amount_due",Pending,Medium,Phase 3
9,9,Advanced Inventory,"Inventario Avanzado Cadena Suministro","☐ No negative stock Phase 2|☐ inventory_lots table|☐ locations table|☐ AdvancedInventory FIFO LIFO|☐ Shrinkage adjustments|☐ Physical count|☐ SupplyChainService multi-location|☐ Stock forecasting|☐ Low stock dashboard|☐ Aging inventory reports|☐ Test FIFO cost correct|☐ Test verifyIntegrity detects adjustments|☐ No updates without history|☐ No omitting expiration perishables",Pending,Medium,Phase 2
10,10,Integrations & APIs,"Integraciones Externas Cloud Sync","☐ AES-256 Phase 4 active|☐ api_configs table encrypted|☐ AuditChain error-free|☐ IntegrationsService Bank Sync|☐ Payment Gateways Stripe PayPal|☐ Messaging Twilio SendGrid|☐ Cloud Drivers Google Drive Dropbox AWS S3|☐ SFTP REST Driver|☐ OAuth2 token refresh|☐ Optional Cloud Sync|☐ E2EE client-side encryption|☐ Conflict Resolution logic_clock|☐ API Control Center UI|☐ Transfer Monitor|☐ Webhook Listener|☐ Test Stripe payment generates entries|☐ Test BackupService uploads Google Drive|☐ Test Internet loss queues requests|☐ Test Bank reconciliation 80% match|☐ Test No personal data without encryption|☐ No API Keys plain text|☐ No auto sync without consent|☐ No cloud upload without AuditChain|☐ No UI blocking external requests|☐ No credentials in error logs",Pending,High,Phase 4
11,11,Multi-Company & Federal Tax,"Multi-Empresa Impuestos Federales Cumplimiento","☐ Multi-role Phase 6 verified|☐ companies table|☐ All tables with company_id|☐ FederalTaxEngine Form 1040 1120|☐ 1099 tracking|☐ Multi-state nexus|☐ SOX-like logs|☐ PCI compliance payments|☐ Company switcher UI|☐ Consolidated reports|☐ Test Multi-company separate P&L|☐ Test 1099 calculates correctly|☐ No data mixing companies|☐ No floats tax",Pending,Low,Phase 6
